PERGUNTAS,RESPOSTAS
ESPECIALIZAÇÃO EM​ Gestão Pública,"O curso pertence à área de Ciências Sociais Aplicadas. Aperfeiçoe suas competências em gestão pública com o curso EAD da Unidade Acadêmica Especial de Ciências Sociais Aplicadas da Universidade Federal de Goiás. Capacite-se para diagnosticar problemas, negociar com atores sociais e aplicar modelos estratégicos, promovendo mudanças efetivas e éticas no setor público. Finalidade: a) Desenvolver habilidades e capacidades de gestão pública; b) Capacitar gestores e analistas de políticas governamentais; c) Promover articulação e negociação com atores sociais e políticos; d) Diagnosticar e solucionar problemas nas organizações públicas; e) Aplicar planejamento estratégico e gestão em ambientes públicos; f) Incorporar dimensões éticas na gestão pública. Público-Alvo e Vagas: – Destinado a graduados em Administração ou áreas afins; – Total de 150 vagas distribuídas em 7 polos no estado de Goiás; – Reserva de vagas para ações afirmativas conforme política da UFG. Carga Horária e Estrutura Acadêmica: – Total de 390 horas, com prazo máximo de 2 anos para conclusão. – Avaliação com frequência mínima de 75% e aproveitamento de 70%. – Certificação exige aprovação em trabalho final ou monografia. Formato e Organização: – Modalidade: Ensino a distância. – Corpo docente majoritariamente composto por professores da UFG. – Coordenação formada por um coordenador e subcoordenador com titulação mínima de mestre. Certificação: – Certificado de especialização para quem cumprir todos os requisitos. – Certificado de aperfeiçoamento para alunos que concluírem disciplinas sem apresentar o trabalho final. Diferenciais: – Flexibilização curricular voltada à administração pública. – Enfoque na realidade regional e nacional. – Desenvolvimento de análise crítica e abordagem ética. Início das aulas 14/04/2025. Reconhecido pelo MEC. Modalidade 100% a distância. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/gestao-publica/"
ESPECIALIZAÇÃO EM Letramento Informacional: Educação para Informação,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a professores, bibliotecários, profissionais da comunicação e demais graduados interessados no assunto. O curso de Especialização em Letramento Informacional: Educação para a Informação (CELI), promove a educação voltada para a informação, observados os aspectos técnicos, éticos, estéticos, legais e pedagógicos envolvidos na prática informacional. Essa prática envolve a busca, organização, o uso e compartilhamento da informação, independente do suporte em que ela esteja registrada, de forma articulada à proposta pedagógica e à concepção de uma aprendizagem contínua (lifelong learning) e autônoma (aprender a aprender). Duração do curso: 12 Meses. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas 01/08/2024. Valor da mensalidade: R$ 180,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-letramento-informacional-educacao-para-informacao/
"
ESPECIALIZAÇÃO EM Linguística Aplicada: Ensino-Aprendizagem de Línguas Adicionais,"O curso pertence à área de Linguística, Letras e Artes. O curso destina-se a graduados em cursos reconhecidos pelo Conselho Nacional de Educação (CNE) em Letras e/ou Linguística, licenciados ou bacharéis, ou graduados em Libras; em língua portuguesa como língua de acolhimento e em qualquer área com conhecimento em línguas e que atuem na área de Línguas Adicionais a que se destina este curso. O curso de Especialização em Linguística Aplicada: ensino-aprendizagem de Línguas Adicionais tem como objetivo primordial proporcionar aperfeiçoamento, crescimento intelectual e ascensão profissional aos profissionais de ensino de Línguas Adicionais. Seu currículo foi totalmente pensado para os desafios diários em escolas públicas e privadas o que garante ao cursista conhecimento para ampliar e melhorar a sua atuação na sala de aula. Ainda, oferece ao profissional uma visão crítica sobre a sua profissão e capacita para a realização de pesquisas no ambiente de sala de aula que podem levar a melhoria da prática no âmbito profissional e alicerçar pesquisas futuras. Horários: sábados (8h às 12h e 14h às 18h). Duração do curso: 24 meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/03/2025. Taxa de matrícula de R$ 50,00; Valor da mensalidade: R$ 400,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/linguistica-aplicada-ensino-aprendizagem-de-linguas-adicionais/
"
ESPECIALIZAÇÃO EM Moda e Inovação,"O curso pertence à área de Linguística, Letras e Artes. O curso destina-se a capacitar profissionais portadores de diploma de curso superior, em Design de Moda e afins. O curso de Especialização em Moda e Inovação busca estabelecer um pensamento e aplicação de práticas e dinâmicas multidisciplinares centradas na inovação de base criativa e cocriativa, oriunda de metodologias diversificadas, onde o aluno será convidado a elaborar sua própria prática, respondendo à aplicabilidade inovativa e sustentável em seu projeto final de curso. Uma dinâmica com foco em estudos de caso, de base integradora, tecnológica, sustentável, inventiva e experimental, mas eficaz tanto na sua aplicação quanto na sua manutenção. Assim, o curso capacita profissionais da área de moda e afins para o desenvolvimento, implementação ou melhorias de projetos, negócios e inovação na área de moda. Objetivos Específicos: a) Oferecer conhecimento científico e tecnológico para a geração de ideias e projetos na área de moda; b) Apresentar teorias da cultura de moda e inovação para a geração de novas ideias; c)Proporcionar um ambiente inovador para a materialização de ideias na área de moda; d) Orientar para a sustentabilidade aplicada na geração de ideias e projetos na área de moda; e) Ofertar um ambiente criativo através da cultura de moda, design e inovação; f) Contribuir na profissionalização da área de moda local e nacionalmente. Horários: quinzenalmente, as segundas-feiras (19h às 22h), quartas-feiras (19h às 22h) e sextas-feiras (19h às 22h). Local: Faculdade de Artes Visuais, Campus Samambaia. Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 01/04/2025. Taxa de matrícula de R$ 500,00; Valor da mensalidade: R$ 500,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-moda-e-inovacao/"
ESPECIALIZAÇÃO EM​ Odontologia Hospitalar,"O curso pertence à área de Ciências da Saúde. O curso destina-se a graduados em odontologia, que já tenham realizado uma pós-graduação em cirurgia odontológica. O curso de Especialização em Odontologia Hospitalar, promove a capacitação de cirurgiões-dentista em conhecimentos teóricos e práticos necessários para a realização do atendimento de pacientes críticos, com condições especiais de saúde, em ambiente ambulatorial, domiciliar e hospitalar. O curso é fundamentado nos princípios éticos e embasados em evidências científicas, onde será desenvolvido nas dependências da Faculdade de Odontologia da UFG; Enfermaria/UTI do Hospital das Clínicas da UFG, Hospital Araújo Jorge e hospitais particulares parceiros. Carga horária: 612 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/01/2025. Valor da mensalidade: R$ 1800,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-odontologia-hospitalar/"
"ESPECIALIZAÇÃO EM Perícia, Auditoria e Licenciamento Ambiental","O curso pertence à área de Ciências Agrárias e Ciências Biológicas. O curso destina-se a profissionais portadores de diploma de curso superior, tais como Engenheiros Ambientais, Engenheiros Ambientais e Sanitaristas, Engenheiros Civis, Engenheiros Agrônomos, Biólogos, Geógrafos, Advogados, Administradores de Empresas, Químicos, Economistas e demais profissionais Graduados interessados na área Ambiental. O curso de Especialização em Perícia, Auditoria e Licenciamento Ambiental tem como objetivo qualificar profissionais dos setores público, privado e do terceiro setor quanto à promoção do aprendizado multidisciplinar necessário para o desempenho das atividades de Perícia, Auditoria e licenciamento ambiental, apresentando conceitos, instrumentos legais e técnicos para quem pretende participar das atividades relacionadas. Nesse sentido capacita profissionais para a análise e gestão de projetos de investimento, integrando conceitos de engenharia econômica, técnicas de análise de risco e gestão financeira. Com base prática e científica, prepara gestores para decisões criteriosas, focadas na aplicação produtiva do capital em um ambiente de incerteza e risco. Duração do curso: 24 meses. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas 24/03/2025. Valor da mensalidade: R$ 400,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-pericia-auditoria-e-licenciamento-ambiental/"
ESPECIALIZAÇÃO EM Políticas Públicas,"O curso pertence à área de Ciências Sociais Aplicadas. O curso pertence à área de Ciências Humanas e Ciências Sociais Aplicadas. O curso destina-se a servidores públicos (efetivos ou comissionados), prestadores de serviço em órgãos públicos da esfera federal, estadual ou municipal; profissionais da iniciativa privada ou terceiro setor com atuação; demais profissionais com em pesquisa com temáticas pertinentes ao campo das políticas públicas. O curso de Especialização em Políticas Públicas tem como objetivos: – Qualificar, em resposta à regular demanda pelo curso, servidores, prestadores de serviço e interessados em ingressar em carreiras do setor público a nível federal, estadual e/ou municipal; – Fomentar atividades de debate e pesquisa sobre políticas públicas que tenham o estado de Goiás e/ou seus municípios como objeto de estudo, contribuindo para a produção de conhecimento e evidências sobre questões atinentes à formulação, implementação, monitoramento e avaliação de políticas relavantes para os governos (estadual e municipais) e tomadores de decisões; – Formar potenciais pesquisadores do campo de políticas públicas, promovendo o estabelecimento de vínculos e integração em redes de pesquisa com acadêmicos e demais profissionais da área pertencentes à Faculdade de Ciências Sociais (FCS), a outras unidades acadêmicas da UFG, a instituições de ensino do estado, e municípios, e de outras unidades da federação, além de órgãos governamentais dedicados à pesquisa; – Consolidar a Especialização em Políticas Públicas em um núcleo de estudos e provisão de conhecimento propício ao desenvolvimento de investigações e estudos técnicos em parcerias com órgãos públicos no estado de Goiás e/ou nos municípios da grande Goiânia. Horários: sextas-feiras (17h00 às 21h00) e sábados (08h00 às 12h00). Carga horária: 360h. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas previsto para 2026. Taxa de matrícula de R$ 300,00; Valor da mensalidade: R$ 300,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-politicas-publicas/"
ESPECIALIZAÇÃO EM Práticas Pedagógicas na Educação Básica,"O curso pertence à área de Ciências Sociais Aplicadas. O curso pertence à área de Ciências Humanas e Ciências Sociais Aplicadas. O curso destina-se a graduados em curso de licenciatura. O curso de Especialização em Práticas Pedagógicas na Educação Básica tem por finalidade: a) Contribuir para a formação de professores e demais agentes que atuam na Educação Básica com foco no desenvolvimento e aprimoramento das práticas pedagógicas por eles desenvolvidas; b) Formar, em nível de pós-graduação Lato Sensu, profissionais da Educação Básica; c) Promover a formação continuada de profissionais da educação básica, com vistas a consolidar as práticas pedagógicas por eles desenvolvidas; d) Contribuir com o fortalecimento e expansão das políticas públicas de formação de professores; e) Refletir sobre o trabalho e práticas pedagógicas desenvolvidas pelos professores em seus ambientes de trabalho; f) Promover o debate crítico sobre formação de professores e suas práticas pedagógicas;
g) Produzir conhecimentos em relação ao tema das práticas pedagógicas na Educação Básica. O cumprimento das finalidades será obtido por meio de: a) Manutenção da qualidade do ensino ministrado, do estímulo à investigação científica; b) Flexibilização curricular que conduza ao aprimoramento mais amplo na área da Educação e do Ensino; c) Comprometimento com a realidade regional e nacional; d) Utilização da bibliografia referente à área da educação; e) Identificação e discussão dos problemas da área de estudo, bem como sua interação com áreas afins; f) Desenvolvimento da capacidade de análise e de crítica. Duração do curso: 24 meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/05/2024. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-praticas-pedagogicas-na-educacao-basica/"
ESPECIALIZAÇÃO EM​ Psicologia dos Processos Educativos,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se todos os profissionais licenciados(as) em cursos reconhecidos pelo Ministério da Educação. O curso de Especialização em Psicologia dos Processos Educativos é um curso gratuito que tem os seguintes objetivos: a) Aprofundar os fundamentos científicos da psicologia para compreensão dos processos de socialização em contextos diversos visando apreender as mediações constitutivas do sujeito na contemporaneidade e subsidiar práticas profissionais que requerem intervenções educativas; b) Dar continuidade ao processo de formação acadêmica; aprofundar a compreensão dos processos e instâncias de socialização; c) Contribuir para a discussão acerca das condições de intervenção em contextos educativos; d) Contribuir para compreensão acerca das condições de constituição do sujeito contemporaneamente; e) Contribuir para elaboração de intervenções subjetivamente orientadas no campo social. Horários: segunda-feira (noturno), terça-feira (noturno) e quinta-feira (noturno). Local: Faculdade de Educação, da Universidade Federal Goiás. Carga horária do curso: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 17/03/2025. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-psicologia-dos-processos-educativos/"
ESPECIALIZAÇÃO EM Vigilância Epidemiológica,"O curso pertence à área de Ciências da Saúde. O curso destina-se a médicos, enfermeiros, biomédicos, biólogos, farmacêuticos e outros profissionais da saúde que desejam se aprofundar na prevenção e controle de doenças e na promoção da saúde pública. O curso de Especialização em Vigilância Epidemiológica oferece formação avançada para profissionais de saúde no controle e prevenção de doenças, com base em diretrizes internacionais. Inclui atividades práticas e conexão com especialistas da área. Além de uma sólida base teórica, o curso oferece atividades práticas que simulam situações reais de vigilância em saúde. Duração do curso: 18 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas Março/2025. Valor da mensalidade: R$ 450,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-vigilancia-epidemiologica/"
"ESPECIALIZAÇÃO EM Vitivinicultura, Serviços e Produtos","O curso pertence à área de Ciências Biológicas. O curso destina-se a portadores de diploma de graduação de quaisquer áreas do conhecimento, entretanto, oferece-se prioridade à graduados em cursos de Enologia, Agronomia, Farmácia, Química, Engenharia de Alimentos, Engenharia Química, Gastronomia e áreas afins. O curso de Especialização em Vitivinicultura, Serviços e Produtos, compromete-se a promover a capacitação e o aperfeiçoamento de profissionais para atuarem em diferentes áreas deste setor de tradição milenar. Ressalta-se aqui, a notável multidisciplinaridade do setor vitivinícola, hoje em franco desenvolvimento internacional, nacional e sobretudo regional. A região Centro-Oeste já consolidada na produção de uvas de mesa, tem se notabilizado pela qualidade de uvas viníferas e vinhos resultantes, contando já com dezenas de vinícolas e projetos, bem como diversos vinhos premiados. Horários: sextas-feiras (18h às 22h) e sábados (8h às 12h e 14h às 18h). Duração do curso: 18 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 07/03/2025. Taxa de matrícula de R$ 238,00; Valor da mensalidade: R$ 484,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/vitivinicultura-produtos-e-servicos-vitivini/"
Existe a opção de trancamento de matrícula?,"Não, conforme o Regulamento Geral da Pós-Graduação Lato Sensu da UFG (Resolução CEPEC N° 1630/2019), não há possibilidade de trancamento de matrícula."
Existe algum canal de interação entre o aluno e o professor?,"Sim! Você consegue falar com o seu professor por meio do sistema acadêmico, por e-mail e pelo ambiente virtual de aprendizagem.
"
Francine do Couto Lima Moreira,"Cirurgiã-dentista (UFG) – Especialista em Odontologia para Pacientes com Necessidades Especiais (ABOGO) e Odontologia Hospitalar (UFG). Habilitada em Laserterapia (ABODF) e Sedação Inalatória com Óxido Nitroso (EAP GO). Mestre em Odontologia (UFG). Doutora em Ciências da Saúde (UFG). Professora adjunta da Faculdade de Odontologia da Universidade Federal de Goiás. Coordenadora das disciplinas de OPNE e OH da UFG, dos cursos de especialização em OPNE e OH da UFG e do Serviço de Odontologia Hospitalar da FOUFG. Secretária Geral do Conselho Regional de Odontologia de Goiás. Cursos: Especialização em Odontologia para Pacientes com Necessidades Especiais; Especialização em Odontologia Hospitalar, Especialização em Odontopediatria. Na Escola de Pós é docente do curso: Odontologia Hospitalar ; Enfrentamento à Violência Contra Mulheres e Meninas."
Gustavo Rodrigues Pedrino,"Graduado em Ciências Biológicas (Modalidade Médica) pela Universidade Federal de São Paulo (UNIFESP). Mestre e Doutor em Ciência pelo Programa de Pós-Graduação em Farmacologia da mesma instituição, onde também realizou pós-doutorado. Durante o doutorado, foi Research Fellow no Department of Physiology da University of Texas Health Science Center at San Antonio. Pós-doutor na UNIFESP. Atualmente, é Professor Associado IV no Departamento de Ciências Fisiológicas do Instituto de Ciências Biológicas da Universidade Federal de Goiás (ICB/UFG), onde coordena o Centro de Pesquisas em Neurociências e Fisiologia Cardiovascular. Diretor do ICB/UFG e Vice-Coordenador do Curso de Pós-Graduação Lato Sensu em Fisiologia Humana Aplicada às Ciências da Saúde. Preside o Conselho Deliberativo da Sociedade Brasileira de Fisiologia (SBFis) e atua como Tesoureiro da Federação de Sociedades de Biologia Experimental (FeSBE). Bolsista de Produtividade em Pesquisa Nível 1C do CNPq. Suas pesquisas focam: A influência do processo inflamatório central sobre a hiperatividade neuronal em doenças cardiovasculares; Os mecanismos neurais envolvidos na melhora cardiovascular com o treinamento físico; Polimorfismos das enzimas conversoras de angiotensina e a susceptibilidade ao desenvolvimento de doenças cardiovasculares; A fisiofarmacologia pré-clínica de produtos naturais e sintéticos. Fisiologia Humana Aplicada às Ciências da Saúde"
Ilirio José Rech,"Doutor em Contabilidade e Controladoria pela FEA/USP (2012) com tese defendia na área de mensuração de ativos biológicos. Mestre em Contabilidade pela Universidade de Brasília (UnB – 2006). Graduado e pós Graduado em Ciências Contábeis pela Universidade Federal de Mato Grosso (1993, 2002). Professor Associado da Universidade Federal de Goiás – UFG e professor permanente do Programa de Mestrado em Ciências Contábeis da UFG e do programa de Mestrado e Doutorado da FACIC/UFU. Possui experiência na área de consultoria em atividades agropecuárias. Participa em projetos de avaliação de empresas na equipe da Funape/UFG. Coordena curso de pós graduação e pesquisas de iniciação científica financiadas pela FAPEMIG, FUNAPE, UFU e UFG nas áreas de avaliação de empresas e de adoção das IFRS aplicadas a empresas rurais, além de atuar no ensino de pós graduação nas áreas de Contabilidade Societária, Análise financeira e econômica, Planejamento e Contabilidade Internacional. Na Escola de Pós é docente do curso: Planejamento Tributário e Compliance Fiscal."
Jacson Rodrigues Barbosa,"Bacharel em Ciências da Computação pela Universidade Federal de Goiás (2007). Mestre em Ciências de Computação pelo Instituto de Informática da Universidade Federal de Goiás (2011). Doutor em Ciências de Computação pelo Instituto de Ciências Matemáticas e de Computação da Universidade de São Paulo (2021). Atualmente é docente no Instituto de Informática (INF) da Universidade Federal de Goiás (UFG). Tem experiência na área de Ciência da Computação, com ênfase em Engenharia de Software e Inteligência Artificial, atuando principalmente nos temas de Mineração de Repositórios de Software, aprendizado de máquina, mineração de dados e textos (data and text mining, predictive analytics, data science). Não atua em nenhum curso da Escola de Pós da UFG."
José Humberto Rodrigues dos Anjos,"Graduado em Letras, Português/Inglês e suas respectivas Literaturas pela Universidade Estadual de Goiás – UEG e em Pedagogia pela Faculdade Mantenense dos Vales Gerais – Intervale. Mestre em Estudos da Linguagem, pela Universidade Federal de Goiás – UFG. Doutor em Educação pela Universidade de Uberaba – UNIUBE. Possui experiência na área de Ensino de Literatura afro-brasileira, literatura produzida em Goiás e educação antirracista. Realizou estágio pós-doutoral no Programa de Pós-graduação em Estudos Literários da Universidade Estadual do Mato Grosso – UNEMAT, onde pesquisou o ensino de literatura afro-brasileira e africana na rede básica de educação. Atualmente é professor efetivo da Universidade Federal de Goiás – Campus Goiás no curso de Pedagogia, onde atua como coordenador da Especialização em Práticas Pedagógicas na Educação Básica, e no Núcleo de Estudos Afro-brasileiros e Indígenas – NEABI (DGP-CNPq). É docente colaborador do Programa de Pós-graduação Stricto Sensu (Mestrado Acadêmico) em Língua, Literatura e Interculturalidade POSLLI, da Universidade Estadual de Goiás – Campus Cora Coralina. Pesquisador associado à Associação Brasileira de Pesquisadores/as Negros/as – ABPN e da Associação Brasileira de Literatura Comparada – ABRALIC. Na Escola de Pós é docente do curso: Práticas Pedagógicas na Educação Básica."
Karla Emmanuela Ribeiro Hora,"Graduação em Arquitetura e Urbanismo pela Universidade Católica de Goiás – UCG (2001). Mestrado em Geografia pelo Instituto de Estudos Socioambiental da Universidade Federal de Goiás – IESA/UFG (2003). Doutorado em Meio Ambiente e Desenvolvimento pela Universidade Federal do Paraná – MADE / UFPR(2009). Atuou em funções de direção e técnica na administração pública municipal nas áreas de: planejamento urbano ambiental e saneamento ambiental. Exerceu a função de Diretora de Políticas para Mulheres no Ministério do Desenvolvimento Agrário (período de outubro/2012-março/2015) e de Diretora da Escola de Engenharia Civil e Ambiental (EECA) da UFG (período maio/2019 a maio/2023). É professora Associado, lotada na Escola de Engenharia Civil e Ambiental, da Universidade Federal de Goiás (EECA/UFG) e docente nos Programas de Pós Graduação Projeto e Cidade (PROCIDADES/FAV/UFG) e Ciências Ambientais (PPGCIAMB/UFG). Os temas recentes de pesquisa versam sobre: Planejamento Urbano e Ambiental; Agricultura Urbana e Periurbana; Tecnologias Sociais, Habitação Rural e Gênero; Gênero e Cidades; Conflitos socioambientais e o extrativismo agrário. Em outubro de 2024 foi indicada para vice-coordenadora do PPG Procidades/FAV. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Larissa Matuda Macedo,"Graduada em Farmácia pela Universidade Federal de Goiás (2009). Mestre (2014) e Doutora (2018) em Ciências Biológicas pela Universidade Federal de Goiás. Atualmente, é Diretora de Pós-graduação Lato Sensu da Pró-Reitoria de Pós-Graduação da UFG. Membro da Câmara de Pesquisa e Pós-Graduação (CPPG-CEPEC-UFG), Comissão de Ética no Uso de Animais (CEUA/UFG), do Comitê de Integridade Acadêmica (CIA-UFG), e da Comissão Própria de Avaliação Institucional (CPA-UFG). Possui experiência em metodologia científica, fisiologia cardiovascular, biologia celular e molecular, e diagnóstico molecular de Covid-19. Atua nas áreas de bioengenharia e farmacologia celular, com ênfase em peptídeos bioativos e células-tronco mesenquimais. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Luiz Carlos da Cunha,"Graduado em Farmácia pela Universidade Federal de Goiás (1989). Mestre em Fármacos e Medicamentos Química e Biologia (1993). Doutor em Fármacos e Medicamentos pela Faculdade de Ciências Farmacêuticas de São Paulo (1998). Professor de Toxicologia e Farmacocinética. Orientador de mestrado e doutorado do PPGCF-UFG, com linha de pesquisa na área de Farmacocinética, envolvendo métodos em cromatografia e espectrometria de massas. Ex-Coordenador do PPGCF e Membro da Sociedade Brasileira de Toxicologia. Diretor da Faculdade de Farmácia UFG. Linhas de Pesquisa: Toxicidade Experimental de produtos naturais e sintéticos; Farmacocinética Experimental e Clínica de produtos naturais e sintéticos; Toxicocinética. Na Escola de Pós é docente do curso: Farmácia Oncológica."
Manoel Francisco Biancardi,"Licenciatura e bacharelado em Ciências Biológicas pela Universidade Estadual Paulista (UNESP). Mestrado e Doutorado em Biologia Celular e Estrutural pela Universidade Estadual de Campinas (UNICAMP). Pós-doutorado na área de Ciências Biológicas pela Universidade Estadual de Campinas (UNICAMP). Atualmente é professor adjunto classe C junto ao Departamento de Histologia, Embriologia e Biologia Celular do Instituto de Ciências Biológicas da Universidade Federal de Goiás (UFG). Faz parte da equipe do Instituto Nacional de Ciência e Tecnologia em Fotônica Aplicada à Biologia Celular (INCT- INFABiC). Atua como coordenador do Laboratório de Biologia Celular Dinâmica (LaBCelDi) da UFG, Laboratório Associado Tipo II vinculado ao INCT-INFABiC. Corpo permanente do Programa de Pós-Graduação em Ciências Biológicas (PPGCB) da UFG, além de ser coordenador deste mesmo programa a partir de março de 2023. Possui experiência na área de Morfologia, com ênfase em Biologia Celular, Histologia e Biologia do Desenvolvimento, atuando principalmente nos seguintes temas da biologia da reprodução: Biologia dos sistemas urogenitais masculino e feminino; Ação de desreguladores endócrinos sobre a próstata; Organogênese prostática; Mecanismos de ação do TGFb1 sobre o desenvolvimento prostático e em modelos de cultura celular com células RWPE-1; Desenvolvimento e caracterização de lesões prostáticas em ratos espontaneamente hipertensos (SHR). Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Márcio de Carvalho Pires,"Graduação em Agronomia pela Escola Superior de Ciências Agrárias de Rio Verde (2001). Mestrado em Produção Vegetal pela Universidade de Brasília (01/2007). Doutorado em Agronomia (Produção Sustentável), pelo Programa de Pós-Graduação da Faculdade de Agronomia e Medicina Veterinária da UnB (01/2012). Pós-Doutorado em Melhoramento de fruteiras, Capes/UnB (2015). Atualmente é Professor Adjunto da Universidade de Brasília (UnB) onde ministra aulas nas seguintes disciplinas: Horticultura Geral, Fruticultura Tropical e Fruticultura Subtropical na Graduação e Propagação de Plantas Frutíferas; Citricultura e Viticultura na Pós-Graduação. Atual Coordenador do curso de Agronomia da Faculdade de Agronomia e Medicina Veterinária da FAV/UnB. Responsável pelo Laboratório de Fruticultura, orientação e condução de experimentos, ensaios laboratoriais, bolsistas e atividades de campo do Setor de Fruticultura EEB-FAV/UnB. Tem experiência na área de Agronomia, com ênfase em Melhoramento Vegetal e Fitotecnia, atuando principalmente nos seguintes temas: Fitossanidade, Propagação de plantas, Fisiologia de frutíferas, Produção e Pós-colheita. Atuou como consultor técnico pela United Nations Educational, Scientific and Cultural Organization – UNESCO e pela Food and Agriculture Organization of United Nations – FAO, ambos com foco no desenvolvimento de atividades de pesquisa. Não atua em nenhum curso da Escola de Pós da UFG."
Marina Carmello Cunha,"Graduada em Criação e Desenvolvimento de Produto em Moda e Bacharel em Negócios da Moda (UAM/2010). Mestre em Arquitetura e Urbanismo (PPGAU-FAUFBA/2014). Doutora em Ciências Sociais (PPGCS-UNICAMP/2020). Pós Doutora pelo PPG-Design (UAM/2023). Atuou profissionalmente principalmente na área de figurino para cinema e teatro. Possui interesse por pesquisas relacionadas aos processos de desenvolvimento de produto têxtil em contextos diversos, processos artesanais e experimentais com tecidos, tingimento, modelagem, artes gráficas, ilustração, vídeo-arte, fotografia e artesanato. Atualmente é professora no curso de Design de Moda da Universidade Federal de Goiás e colabora com projetos de desenvolvimento de produtos na ONG Coletivo Tem Sentimento. Na Escola de Pós é docente do curso: Moda e Inovação."
MBA EM​ Marketing Estratégico,"O curso pertence à área de Ciências Humanas e Ciências Sociais Aplicadas. O curso destina-se a profissionais (executivos ou empreendedores) que atuam diretamente ou indiretamente com a área de marketing. O curso de MBA em Marketing Estratégico tem como a proposta de fomentar os estudos de marketing no âmbito de ensino, pesquisa e extensão. Dessa forma, o curso irá oferecer a comunidade, por meio de professores do quadro efetivo da UFG e convidados, um ferramental para tomada de decisão com ênfase principal nas estratégias das empresas a partir de uma perspectiva mercadológica. Espera-se que, com a oferta do MBA em Marketing Estratégico, profissionais (executivos ou empreendedores) que atuam diretamente ou indiretamente com a área de marketing, possam ser habilitados a tomar decisões e contribuam para o melhor desempenho organizacional. Objetivos Específicos: a) Propiciar a capacitação na prática da gestão de marketing alinhado ao desempenhoorganizacional e estratégico; b) Desenvolver uma visão estratégica do marketing possibilitando aos participantes obter o ferramental necessário para tomada de decisão. Carga horária do curso: 365 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 01/02/2025. Taxa de matrícula de R$ 549,99; Valor da mensalidade: R$ 549,99. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/marketing-estrategico/"
MBA em Planejamento Tributário e Compliance Fiscal,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a gestores, auditores, tributaristas e contadores que desejam atuar em planejamento e compliance tributário. O curso de MBA em Planejamento Tributário e Compliance Fiscal capacita os profissionais das áreas de negócios e tributaristas a atuarem na área de planejamento e compliance tributária, desenvolvendo suas habilidades para conformidade fiscal e aplicação da legislação tributária atual. Assim suprindo os conhecimentos necessários para os profissionais desempenharem o que lhes couber no âmbito da gestão e compliance nas áreas em que atuam. Objetivos Específicos: a) Identificar habilidades necessárias para atuar na área que envolve o planejamento tributário e compliance fiscal; b) Execução e avaliação estratégica da Conformidade Tributária; c) Desenvolver a habilidade de planejamento e conformidade diante do arcabouço tributário brasileiro e suas recentes alterações; d) Fornecer conhecimentos acerca da aplicação dos conceitos de compliance fiscal e legislação tributária vigente. Carga horária: 390 horas. Modalidade 100% Presencial. Reconhecido pelo MEC.Início das aulas 21/02/2025. Valor da mensalidade: R$ 599,99. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/mba-em-planejamento-tributario-e-compliance-fiscal/"
Mércia Pandolfo Provin,"Graduação em Farmácia e Bioquímica pela Universidade Estadual de Ponta Grossa (1989). Mestrado em Genética e Bioquímica pela Universidade Federal de Uberlândia (2003). Doutorado em Ciências da Saúde pela Universidade Federal de Goiás (2011). Atualmente é professora adjunto da Universidade Federal de Goiás. Tem experiência na área de Farmácia, com ênfase em Assistência Farmacêutica tanto na área assistencial quanto no ensino. Principais temas trabalhados: Direito a saúde e Assistência e Atenção farmacêutica. Na Escola de Pós é docente do curso: Farmácia Oncológica."
